route,date,daytype,rides
97,01/04/2014,A,1633
J14,01/04/2014,A,4803
10,01/05/2014,U,295
1001,01/05/2014,U,59
103,01/05/2014,U,760
106,01/05/2014,U,167
11,01/05/2014,U,478
111,01/05/2014,U,1155
111A,01/05/2014,U,54
112,01/05/2014,U,423
115,01/05/2014,U,1162
119,01/05/2014,U,1729
12,01/05/2014,U,4111
124,01/05/2014,U,309
126,01/05/2014,U,1464
146,01/05/2014,U,5719
147,01/05/2014,U,4240
15,01/05/2014,U,2367
151,01/05/2014,U,6888
152,01/05/2014,U,2356
155,01/05/2014,U,2851
171,01/05/2014,U,399
172,01/05/2014,U,154
18,01/05/2014,U,1599
19,01/05/2014,U,350
20,01/05/2014,U,5349
21,01/05/2014,U,2502
22,01/05/2014,U,10289
28,01/05/2014,U,1468
29,01/05/2014,U,3915
3,01/05/2014,U,4853
30,01/05/2014,U,336
34,01/05/2014,U,1583
35,01/05/2014,U,1480
36,01/05/2014,U,8857
4,01/05/2014,U,6401
43,01/05/2014,U,395
44,01/05/2014,U,833
47,01/05/2014,U,3522
49,01/05/2014,U,8910
49B,01/05/2014,U,2011
5,01/05/2014,U,337
50,01/05/2014,U,3358
51,01/05/2014,U,515
52,01/05/2014,U,3713
52A,01/05/2014,U,819
53,01/05/2014,U,7357
53A,01/05/2014,U,1319
54,01/05/2014,U,4104
54B,01/05/2014,U,1035
55,01/05/2014,U,4225
56,01/05/2014,U,2835
57,01/05/2014,U,1355
6,01/05/2014,U,4292
60,01/05/2014,U,2872
62,01/05/2014,U,3381
63,01/05/2014,U,6403
63W,01/05/2014,U,316
65,01/05/2014,U,1909
66,01/05/2014,U,8084
67,01/05/2014,U,3903
68,01/05/2014,U,265
70,01/05/2014,U,3473
71,01/05/2014,U,3457
72,01/05/2014,U,6491
73,01/05/2014,U,1158
74,01/05/2014,U,4787
75,01/05/2014,U,2565
76,01/05/2014,U,3843
77,01/05/2014,U,8403
78,01/05/2014,U,2742
79,01/05/2014,U,9310
